CASENUM HOUR LGT_COND WEATHER ALCOHOL TYP_INT REST_USE AIR_BAG SEVERITY VTRAFWAY VNUM_LAN VSPD_LIM VALIGN VSURCOND
201311531200 21 2 1 1 1 3 1 0 3 2 55 1 1
201311531230 11 1 1 2 1 5 0 0 6 2 20 3 1
201311531616 19 2 1 2 2 3 20 1 1 2 25 1 1
201311531622 15 1 1 2 1 3 8 0 1 2 35 1 1
201311531627 21 3 1 1 1 7 1 1 1 2 35 1 1
201311531640 13 1 1 2 1 3 20 0 3 2 55 1 1
201311531683 0 3 1 1 1 7 1 1 3 2 55 4 1
201311531716 7 1 1 2 2 1 0 0 1 2 25 1 1
201311531777 16 1 1 2 1 3 20 1 1 2 15 2 1
201311531859 11 1 1 2 1 3 20 1 1 2 40 1 1
201311532036 14 1 1 1 1 3 8 0 6 2 55 2 1
201311532112 2 3 1 1 1 3 1 1 3 2 55 1 1
201311532239 1 3 2 1 1 7 1 0 5 2 35 1 2
201311532286 14 1 1 2 1 3 20 1 3 2 55 2 1
201311532366 16 2 1 2 1 3 8 0 3 2 55 3 2
201311532408 7 1 1 2 1 3 20 0 1 2 45 1 1
201311532447 15 1 1 2 1 3 8 0 1 2 35 1 2
201311532464 18 3 1 1 2 7 0 0 1 2 25 1 1
201311532469 21 3 1 1 2 7 8 1 1 4 25 1 1
201311532522 16 1 1 2 2 3 1 1 1 2 35 1 1
201311532700 1 2 1 2 1 3 20 1 3 2 55 1 1
201311533044 15 1 1 2 3 3 8 0 1 4 35 1 1
201311533056 7 1 1 2 2 3 0 1 1 4 25 1 1
201312007453 1 3 2 2 1 7 1 1 3 3 50 3 2
201312008043 8 1 1 2 1 3 8 0 3 2 55 1 1
201312008079 7 1 1 2 1 3 20 1 3 3 55 1 1
201312008159 15 1 1 2 1 3 20 1 3 2 55 1 1
201312008282 2 3 1 1 1 7 1 1 3 3 50 4 1
201312008577 20 3 1 2 1 3 20 1 3 2 55 1 1
201312009348 10 1 1 2 1 3 1 1 3 2 50 1 1
201312009363 10 1 1 2 1 3 20 0 3 3 50 1 1
201312420975 17 3 1 2 1 1 1 0 1 2 35 1 1
201312421016 23 3 4 2 1 1 1 1 1 4 35 1 3
201312421140 7 1 1 2 1 3 20 0 3 2 55 1 1
201312421141 6 2 2 2 1 7 1 1 3 2 55 1 2
201312421214 8 1 1 2 1 3 2 0 1 3 40 1 1
201312421304 18 1 1 2 1 1 0 0 1 2 35 1 1
201312421338 8 1 1 2 1 3 8 1 1 2 40 1 1
201312421353 9 1 1 2 1 3 1 1 1 2 25 1 1
201312421365 6 3 1 2 2 1 20 0 1 2 40 1 1
201312421396 14 1 1 2 2 3 8 0 1 4 40 1 1
201312421500 8 1 1 2 1 7 20 0 1 2 25 3 1
201312421515 10 1 1 2 2 3 0 0 1 2 25 1 1
201312421584 23 2 1 1 1 3 1 1 2 2 55 1 1
201312421585 0 2 1 1 1 7 8 1 3 2 55 1 1
201312421664 9 1 1 2 1 3 1 1 2 2 65 1 1
201312421735 12 1 1 2 1 3 0 0 1 2 35 1 1
201312421774 6 1 1 2 1 3 20 0 1 2 40 1 1
201312421825 23 2 1 2 3 3 20 0 1 2 35 1 1
201312421894 22 3 1 2 1 3 8 0 1 2 35 2 1
201312421902 2 3 1 1 1 3 1 1 1 2 25 1 1
201312421938 12 1 1 2 1 5 0 0 1 2 25 1 1
201312422010 13 1 1 2 3 7 0 1 4 2 35 1 1
201312422047 9 1 1 2 1 3 1 0 1 3 40 1 1
201312422075 6 1 1 2 1 3 1 1 1 2 20 1 1
201312422124 22 3 1 2 3 1 20 0 1 2 35 1 1
201312422139 16 1 2 2 1 7 0 0 6 1 65 2 2
201312422158 9 1 1 2 1 3 8 1 1 4 40 1 1
201312422160 17 1 1 2 1 1 0 1 1 4 40 1 1
201312422243 23 3 1 1 1 7 7 0 1 2 35 2 1
201312422273 12 1 1 2 1 7 1 0 1 2 35 3 1
201312422358 10 1 1 2 1 3 20 0 1 4 40 1 1
201312422371 10 1 1 2 1 3 8 1 1 2 35 1 1
201312422375 3 3 1 1 1 3 8 0 5 4 35 1 1
201312422441 6 3 2 2 2 3 1 0 1 2 45 1 2
201312422450 13 1 1 2 1 3 20 1 6 1 25 2 1
201312422527 20 3 1 2 2 3 8 1 3 2 45 1 1
201312422551 13 1 1 2 2 7 1 0 2 1 25 1 1
201312422555 11 1 1 2 4 3 20 1 1 2 25 1 1
201312422617 17 3 2 2 3 7 0 0 1 2 25 1 2
201312422640 10 1 1 1 1 3 8 1 6 1 55 2 1
201312422653 18 3 1 2 2 3 20 0 1 2 25 1 1
201312422654 17 5 1 2 4 3 0 0 1 2 35 1 1
201312422655 21 3 1 2 1 1 1 0 1 2 25 2 1
201312422666 8 1 1 2 1 3 20 0 3 2 55 1 1
201312422703 17 1 1 2 2 3 0 0 1 4 40 1 1
201312422716 19 2 2 2 1 3 1 1 1 2 35 2 2
201312422774 22 3 1 1 1 7 1 1 3 2 45 1 1
201312422789 9 1 4 2 1 2 1 0 1 2 35 1 2
201312422853 20 3 1 2 1 3 8 1 1 4 40 1 1
201312422904 23 3 1 1 1 7 0 1 1 2 35 3 1
201313064273 17 2 1 2 1 8 9 1 1 2 50 1 1
201313064355 14 1 1 2 1 3 20 0 4 3 30 1 1
201313064971 18 3 2 2 2 8 9 0 1 2 25 1 2
201313065114 15 1 1 2 1 8 9 1 3 5 55 1 1
201313065389 20 2 1 2 1 8 9 1 1 2 45 1 2
201313065437 18 5 1 2 2 8 9 0 1 4 35 1 1
201313065534 6 4 1 2 1 8 9 1 6 2 55 2 1
201313066069 15 1 1 2 2 8 9 1 1 2 30 1 1
201313066123 12 1 2 2 1 8 9 1 2 2 50 1 2
201313066186 1 1 1 2 1 3 20 0 3 4 55 1 1
201313066317 20 3 1 2 1 3 20 0 1 2 25 1 1
201313066652 9 1 2 2 1 8 9 1 2 2 35 1 2
201313067002 0 3 1 2 1 8 9 1 1 4 35 4 1
201313067070 11 1 2 2 1 5 0 0 1 2 25 1 2
201313067189 2 2 1 1 1 7 9 1 3 3 50 1 1
201313067379 0 3 1 1 2 7 9 0 4 4 35 1 1
201313067489 2 2 2 1 1 7 9 1 1 2 30 1 2
201313067626 23 3 2 2 1 8 9 0 1 2 30 2 2
201313067982 9 1 2 2 1 5 0 0 2 3 55 1 2
201313068034 20 3 1 2 1 8 9 1 3 4 55 1 1
201313068095 2 3 1 2 2 8 9 1 3 2 55 1 1
201313068255 12 1 1 2 1 5 0 0 1 4 25 1 1
201313068599 21 2 1 1 1 5 0 1 2 2 55 1 1
201313068687 6 1 1 1 1 8 9 1 3 4 55 1 1
201313068720 6 1 1 2 1 8 9 1 3 2 55 1 1
201313068746 11 1 1 2 1 8 9 0 4 3 35 1 1
201313068792 10 1 1 2 1 3 0 1 2 3 30 1 1
201313068862 10 3 1 2 1 8 9 0 2 3 55 1 1
201313069049 15 1 2 2 1 8 9 1 3 4 55 1 2
201313069131 10 1 1 2 2 8 9 0 4 3 35 1 1
201313069169 13 1 1 2 1 8 9 1 3 4 55 1 1
201313069291 11 1 1 2 1 3 0 0 1 2 30 4 1
201313069793 23 3 1 2 2 8 9 1 2 1 55 1 1
201313069795 23 3 1 2 1 8 9 1 3 3 55 1 1
201313069925 0 3 1 2 1 5 0 0 3 3 55 1 1
201313070082 19 1 2 2 1 8 9 1 2 2 55 1 2
201313070224 23 2 1 2 1 8 9 1 3 2 55 1 1
201313070247 9 1 1 2 1 5 0 0 3 2 55 1 1
201313070254 7 1 1 2 1 8 9 1 3 4 55 1 1
201313070265 10 1 1 2 1 8 9 1 3 2 55 1 1
201313070483 23 3 1 2 1 5 0 0 3 4 55 1 1
201313070638 5 3 1 2 4 5 0 0 1 2 30 2 1
201313070656 17 1 1 2 1 8 9 1 1 4 30 3 1
201313070801 10 1 1 2 1 8 9 0 3 4 55 1 1
201313070988 19 2 2 2 1 7 9 1 1 2 35 2 2
201313071065 8 1 1 2 1 8 9 0 3 4 35 1 1
201313071306 4 3 1 2 1 5 0 0 2 2 45 1 1
201313071323 19 3 1 2 1 8 9 0 3 3 35 1 1
201313071434 3 3 1 2 1 7 9 1 1 2 35 1 1
201313071910 2 3 2 2 1 3 1 1 1 4 50 1 2
201313071926 2 2 1 2 1 3 20 1 3 4 55 1 1
201313072046 7 2 2 2 2 8 9 1 4 1 55 1 2
201313072056 19 3 2 2 2 8 9 1 3 3 55 1 2
201313072071 14 1 1 2 1 8 9 0 2 3 50 1 1
201313072126 0 3 1 1 1 7 9 1 1 4 30 1 1
201313072195 22 2 1 2 1 3 8 1 6 1 55 2 1
201313072205 17 1 1 2 1 3 20 1 4 4 65 1 1
201313072207 16 1 1 2 1 3 20 0 3 4 55 1 1
201313072217 10 1 2 2 1 3 1 1 6 1 45 3 2
201313072328 20 3 1 2 2 7 8 1 3 3 35 4 1
201313072332 19 3 1 2 1 8 9 1 1 2 40 1 1
201313072392 20 3 1 2 1 7 9 1 1 2 35 1 1
201313072407 22 2 1 2 1 3 8 1 3 4 55 1 1
201313072569 7 1 1 2 2 8 9 0 5 5 25 1 1
201313072778 3 3 1 2 1 7 9 1 2 3 35 1 1
201313072828 10 1 1 2 2 8 9 1 3 3 35 1 1
201313072919 8 1 1 2 3 8 9 0 1 2 25 1 1
201313072988 5 3 2 2 1 7 9 1 1 2 30 4 2
201313073454 13 1 2 2 1 8 9 0 3 3 30 1 2
201313073627 8 1 1 2 1 3 8 0 3 4 55 1 1
201313073826 10 1 1 2 1 3 20 1 3 5 55 1 1
201313073827 22 3 1 2 2 8 9 1 1 4 40 1 1
201313073836 19 3 1 2 1 3 1 1 3 4 55 1 1
201313074034 3 2 1 2 1 8 9 1 1 2 45 1 1
201313558686 7 1 1 2 2 3 20 0 3 4 30 1 1
201313558734 20 2 1 2 2 3 20 1 1 3 35 1 1
201313558800 10 1 1 2 1 3 20 0 3 3 70 1 1
201313559068 9 1 10 2 1 7 9 0 1 2 25 2 1
201313559175 8 1 1 2 1 3 20 1 1 4 35 1 1
201313559184 10 1 1 2 2 3 20 0 2 3 35 1 1
201313559188 17 3 10 2 2 3 20 0 2 4 40 1 1
201313559199 21 2 10 2 1 3 20 0 1 4 35 1 1
201313559204 15 1 1 2 2 3 20 0 1 5 30 1 2
201313559206 2 3 5 1 2 3 20 0 1 2 25 1 2
201313559277 21 3 1 2 2 3 20 0 1 2 25 1 1
201313559279 11 1 1 2 2 3 20 1 4 2 25 1 1
201313559301 15 1 10 2 1 3 9 0 2 2 70 1 2
201313559456 15 1 1 2 1 3 9 0 1 5 45 1 1
201313559478 5 2 3 2 1 3 9 1 1 2 45 1 4
201313559580 9 1 1 2 1 3 9 0 1 5 30 1 2
201313559652 16 1 10 2 1 3 9 1 1 2 50 1 1
201313559694 9 1 1 2 2 3 20 1 1 5 30 1 2
201313559761 19 3 2 2 2 3 20 0 1 2 30 1 2
201313559864 14 1 11 2 2 3 20 0 1 5 35 1 4
201313559901 19 5 11 2 1 3 20 0 1 2 55 1 2
201313559903 9 1 11 2 1 3 20 0 1 2 45 2 4
201313559937 8 1 4 2 1 3 20 0 3 2 70 1 4
201313560009 17 1 10 2 2 3 20 0 3 4 35 1 1
201313560012 23 3 1 2 2 3 9 0 1 5 30 1 2
201313560014 21 2 1 2 1 3 9 1 1 2 55 1 4
201313560036 19 3 1 2 2 3 20 0 1 2 25 1 2
201313560189 10 1 1 2 2 3 20 0 1 5 35 1 1
201313560244 6 3 11 2 1 3 9 1 3 2 70 1 4
201313560252 3 2 1 1 1 3 9 1 3 2 70 3 1
201313560293 17 1 10 2 1 3 0 0 1 4 45 1 1
201313560352 6 3 11 2 1 3 9 1 3 2 70 1 4
201313560466 17 1 2 2 2 3 20 1 1 2 45 1 2
201313560497 18 5 1 2 3 3 9 0 5 2 55 1 1
201313560520 11 1 1 2 1 7 20 0 1 2 55 1 1
201313560528 11 1 10 2 1 3 20 0 1 2 55 1 11
201313560535 4 2 10 2 1 3 20 0 1 2 55 1 4
201313560548 23 2 1 2 1 3 20 0 2 2 70 1 1
