enrolled,invited,age,female,self.plus1,self.plus2,hispanic,race.white,race.black,race.nwother,english,signed.self.up,phone,pobox,first.day,income
0,1,30,0,0,0,0,1,0,0,1,1,1,0,0,111.5305405
1,1,47,1,1,0,0,1,0,0,1,1,1,0,0,163.0061798
0,0,45,0,0,0,0,0,0,1,1,1,1,0,0,111.5305405
1,1,48,1,0,0,0,1,0,0,1,1,0,0,0,57.71006393
0,0,51,1,0,0,0,1,0,1,1,1,1,0,0,94.37199402
0,1,47,0,0,0,0,0,1,0,1,1,1,0,0,0
1,1,28,1,0,0,0,1,0,0,1,1,1,0,0,71.38563538
1,1,28,1,1,0,1,1,0,0,0,0,1,0,0,0
1,1,39,0,0,0,1,0,0,0,0,1,1,0,0,26.29997063
0,1,45,0,0,0,0,1,0,0,1,1,1,0,1,111.5305405
0,0,34,1,0,0,0,1,0,0,1,1,1,0,0,145.8476257
0,0,48,1,0,0,0,1,0,0,1,1,1,0,0,0
0,1,36,0,1,0,0,1,0,0,1,0,1,0,0,157.0180206
0,0,28,1,0,0,0,1,0,0,1,1,1,0,0,107.7097473
1,0,24,1,1,0,1,0,0,0,0,1,1,0,0,96.37187958
1,1,45,0,1,0,0,1,0,0,1,1,1,0,0,20.4806118
0,0,36,1,0,0,0,1,0,0,1,1,1,0,0,42.8963623
0,0,52,0,0,0,0,1,0,1,1,1,1,0,0,0
0,0,37,0,0,0,0,0,0,1,1,1,1,0,0,0
0,1,32,1,0,0,1,0,0,0,0,1,1,0,0,111.4773178
1,1,51,0,0,0,0,1,0,1,1,1,1,0,1,57.71006393
1,0,27,0,0,0,1,0,0,0,0,1,1,0,0,73.6961441
0,0,42,0,0,0,0,1,0,0,1,1,1,0,0,126.9621429
0,0,62,1,0,0,0,1,0,0,1,1,1,0,0,0
1,0,32,0,0,0,0,0,0,1,1,1,1,0,0,6.826870441
0,0,32,0,0,0,0,1,0,0,1,1,1,0,0,56.35707855
0,0,45,1,0,0,1,0,0,1,1,1,1,0,0,129.7105408
0,1,22,0,1,0,1,0,0,1,1,0,1,0,0,116.0568008
0,0,28,0,0,0,0,0,0,1,1,1,1,0,0,39.68254089
0,0,42,1,0,0,0,1,0,0,1,1,1,0,0,25.73781776
0,0,38,1,1,0,0,0,0,1,1,0,1,0,0,0
0,1,30,0,0,0,0,1,0,0,1,1,1,0,1,85.03401184
0,1,52,1,1,0,0,1,0,0,1,0,1,0,0,343.1777649
1,1,27,0,0,0,1,0,0,0,1,1,1,0,0,11.54201317
0,0,43,1,0,0,0,1,0,0,1,1,1,0,0,8.57927227
1,1,46,1,1,0,0,0,0,1,1,0,0,0,0,5.668934345
0,1,28,1,0,0,0,1,0,0,1,1,0,0,0,102.4030609
0,1,32,0,1,0,0,0,0,1,1,1,1,0,1,82.39627838
0,1,61,1,0,0,0,1,0,0,1,1,1,0,0,103.8781128
1,0,36,1,0,0,0,1,0,0,1,1,1,0,0,42.8963623
0,0,29,1,0,0,0,0,1,0,1,1,1,0,0,77.2134552
0,0,48,1,0,0,0,1,0,0,1,1,1,0,0,20.4806118
1,1,21,1,0,0,0,1,0,0,1,1,1,0,0,11.54201317
0,1,57,1,1,0,0,1,0,0,1,1,1,0,0,92.08995819
0,0,30,1,0,0,0,1,0,0,1,1,1,0,0,157.0180206
1,1,61,0,0,0,0,1,0,0,1,1,1,0,0,163.0061798
0,1,56,0,0,0,0,0,0,1,1,1,1,0,0,71.96071625
1,1,49,0,0,0,0,1,0,0,1,1,1,0,0,11.54201317
0,1,20,1,0,0,1,0,0,0,1,1,1,0,0,118.2112961
0,0,25,0,0,0,0,1,0,0,1,1,0,0,0,128.6890869
1,1,25,1,1,0,0,1,0,0,1,0,1,0,0,47.78809357
1,1,46,1,0,0,0,0,1,0,1,1,1,0,0,0
0,0,46,0,0,0,0,1,0,0,1,1,1,0,0,20.4806118
0,1,24,0,0,0,0,0,0,1,1,1,1,0,0,128.6890869
1,1,33,1,0,0,0,1,0,0,1,1,1,0,1,102.4030609
0,0,25,0,0,0,0,1,0,0,1,1,1,0,0,150.0461731
0,1,42,1,0,0,0,1,0,0,1,1,1,0,1,173.130188
0,1,42,1,0,0,1,0,0,0,1,1,1,0,0,25.28658104
0,1,48,1,1,0,1,0,0,0,0,0,1,1,0,63.49475098
0,0,21,1,0,0,0,0,1,0,1,1,1,0,0,6.826870441
0,0,51,1,0,0,0,1,0,0,1,1,1,0,1,63.00891876
0,0,42,1,0,0,0,1,0,0,1,1,1,0,0,47.78809357
0,1,51,1,0,0,1,0,0,0,0,1,1,0,0,63.00891876
0,0,27,0,0,0,0,1,0,0,1,1,1,0,0,11.54201317
1,1,33,1,0,0,0,1,0,0,1,1,1,0,0,47.78809357
1,1,28,0,0,0,0,1,0,0,1,1,1,0,0,80.79409027
0,1,36,0,1,0,1,0,0,0,1,0,1,0,0,111.4563599
0,1,54,0,0,0,0,1,0,0,1,1,1,0,0,0
1,1,42,0,0,0,0,1,0,0,1,1,1,0,0,8.57927227
1,0,27,0,0,0,1,1,0,1,1,1,1,0,0,21.16491699
0,1,26,1,0,0,0,0,1,0,1,1,1,0,0,111.5305405
0,0,38,0,1,0,1,0,0,0,1,0,1,0,0,111.4773178
0,0,26,0,0,0,0,1,0,0,1,1,1,0,0,126.9621429
1,1,46,0,0,0,0,1,0,0,1,1,1,0,0,0
0,1,56,0,0,0,0,1,0,0,1,1,1,0,0,57.71006393
0,1,53,0,1,0,0,1,0,0,1,1,0,0,0,94.37199402
0,1,25,0,0,0,1,0,0,0,1,1,1,1,0,20.4806118
0,1,35,0,1,0,0,1,0,0,1,1,1,0,0,187.0748291
0,0,30,1,0,0,0,1,0,0,1,1,1,0,0,0
0,1,27,1,0,0,0,1,0,0,1,1,1,0,0,173.130188
0,1,33,1,0,0,0,0,1,0,1,1,1,0,0,130.8646698
0,0,34,0,0,0,0,1,0,0,1,1,1,0,0,34.13435364
1,1,34,1,0,0,0,1,0,0,1,1,1,0,0,47.78809357
0,0,20,0,1,0,0,1,0,0,1,0,0,0,0,4.232983589
0,1,33,1,0,0,0,1,0,0,1,1,1,0,0,17.00680351
0,1,20,1,1,0,0,1,0,0,1,1,1,0,0,94.37199402
0,0,57,1,0,0,0,1,0,0,1,1,1,0,1,334.5916138
0,0,25,0,1,0,0,1,0,0,1,0,1,0,0,197.979248
0,0,20,1,0,0,1,0,0,0,0,1,1,0,0,11.27141571
0,1,36,1,1,0,0,1,0,1,1,1,1,0,0,61.4418335
0,0,32,1,0,0,0,1,0,0,1,1,1,0,0,63.87135696
0,1,29,1,0,0,1,0,0,0,1,1,1,0,0,214.4818115
0,1,58,1,0,0,0,1,0,0,1,1,1,0,0,85.03401184
1,0,61,1,0,0,0,1,0,0,1,1,1,0,0,0
